Date,Remark,Value
5/21/2020,,19
5/22/2020,,18
5/23/2020,,17
5/24/2020,,16
5/25/2020,,17
5/26/2020,,21
5/27/2020,,21
5/28/2020,,18
5/29/2020,,16
5/30/2020,,14
5/31/2020,,14
6/1/2020,,17
6/2/2020,,18
6/4/2020,,14
6/5/2020,,13
6/6/2020,,13
6/7/2020,,12
6/8/2020,,9.8
6/9/2020,,4.55
6/10/2020,,8.8
6/11/2020,,8.3
6/12/2020,,7.6
6/13/2020,,7.4
6/14/2020,,9.2
6/15/2020,,10
6/16/2020,,11
6/17/2020,,9.4
6/18/2020,,7.3
6/19/2020,,6.5
6/20/2020,,6.1
6/21/2020,,5.6
6/22/2020,,5.1
6/23/2020,,4.6
6/24/2020,,4.2
6/25/2020,,4.2
6/26/2020,,4.6
6/27/2020,,5
6/28/2020,,5.4
6/29/2020,,5.8
6/30/2020,,6.4
7/1/2020,,6.5
7/2/2020,,6.1
7/3/2020,,7.1
7/4/2020,,8.7
7/5/2020,,8.5
7/6/2020,,7.6
7/7/2020,,5.9
7/8/2020,,4.7
7/9/2020,,5
7/10/2020,,6.3
7/11/2020,,6.2
7/12/2020,,5.6
7/13/2020,,4.7
7/14/2020,,4.1
7/15/2020,,4.3
7/16/2020,,5.4
7/17/2020,,5.9
7/18/2020,,5.9
7/19/2020,,6
7/20/2020,,5.9
7/21/2020,,5.8
7/22/2020,,6.1
7/23/2020,,6.4
7/24/2020,,5.7
7/25/2020,,5.2
7/26/2020,,4.7
7/27/2020,,4.1
7/28/2020,,3
7/29/2020,,2
7/30/2020,,1.5
7/31/2020,,1.5
8/1/2020,,2
8/2/2020,,5.1
8/3/2020,,14
8/4/2020,,13
8/5/2020,,10
8/6/2020,,9.3
8/7/2020,,9
8/8/2020,,8.9
8/9/2020,,8.5
8/10/2020,,7.9
8/11/2020,,6.3
8/12/2020,,5.3
8/13/2020,,4.5
8/14/2020,,3.9
8/15/2020,,3.5
8/16/2020,,3.2
8/17/2020,,4.1
8/18/2020,,5.4
8/19/2020,,4.8
8/20/2020,,3.9
8/21/2020,,3.1
8/22/2020,,2.7
8/23/2020,,2.7
8/24/2020,,2.4
8/25/2020,,1.3
8/26/2020,,0.9
8/27/2020,,0.8
8/28/2020,,0.8
8/29/2020,,0.6
8/30/2020,,0.5
8/31/2020,,0.9
9/1/2020,,1.8
9/2/2020,,1.9
9/3/2020,,1.4
9/4/2020,,1.3
9/5/2020,,1.4
9/6/2020,,3.2
9/7/2020,,6.7
9/8/2020,,8.7
9/9/2020,,8.5
9/10/2020,,7.2
9/11/2020,,6.2
9/12/2020,,5.7
9/13/2020,,5.8
9/14/2020,,4.9
9/15/2020,,5.3
9/16/2020,,7.1
9/17/2020,,5.2
9/18/2020,,3.1
9/19/2020,,5.4
9/20/2020,,15
9/21/2020,,20
9/22/2020,,18
9/23/2020,,8.8
9/24/2020,,5.1
9/25/2020,,3.8
9/26/2020,,3.1
9/27/2020,,2.8
9/28/2020,,0.833
9/29/2020,,1.7
9/30/2020,,1.5
10/1/2020,,1.2
10/2/2020,,1
10/3/2020,,2.2
10/4/2020,,5.6
10/5/2020,,6.8
10/6/2020,,6.1
10/7/2020,,3.4
10/8/2020,,1.6
10/9/2020,,0.9
10/10/2020,,0.7
10/11/2020,,0.6
10/12/2020,,0.5
10/13/2020,,0.6
10/14/2020,,1.2
10/15/2020,,2.8
10/16/2020,,3
10/17/2020,,4.1
10/18/2020,,7
10/19/2020,,8.3
10/21/2020,,4.4
10/22/2020,,3.1
10/23/2020,,2
10/24/2020,,1.4
10/25/2020,,1
10/26/2020,,1
10/27/2020,,1
10/28/2020,,0.8
10/29/2020,,0.5
10/30/2020,,0.4
